gid,lat,lng,time,duration
360810289003,40.748461,-73.890983,2017-09-18T15:55:13Z,19
360810289003,40.748194,-73.890961,2017-09-18T15:55:32Z,23
360810289003,40.747913,-73.890872,2017-09-18T15:55:55Z,24
360810289003,40.747565,-73.890792,2017-09-18T15:56:19Z,45
360810289003,40.747066,-73.890966,2017-09-18T15:57:04Z,26
360810267003,40.746786,-73.891110,2017-09-18T15:57:30Z,16
360810267003,40.746755,-73.891154,2017-09-18T15:57:46Z,37
360810267003,40.746711,-73.891274,2017-09-18T15:58:23Z,61
360810267003,40.746714,-73.891333,2017-09-18T15:59:24Z,22
360810267003,40.746715,-73.891342,2017-09-18T15:59:46Z,13
360810267003,40.746716,-73.891356,2017-09-18T15:59:59Z,1
360810267003,40.746716,-73.891356,2017-09-18T16:00:00Z,3
360810267003,40.746717,-73.891359,2017-09-18T16:00:03Z,64589
360470143001,40.66419,-73.991622,2017-09-19T09:56:32Z,146
360470077003,40.673768,-73.998307,2017-09-19T09:58:58Z,17
360470077003,40.674539,-73.997869,2017-09-19T09:59:15Z,15
360470077003,40.675225,-73.997599,2017-09-19T09:59:30Z,29
360470077003,40.677646,-73.996257,2017-09-19T09:59:59Z,1
360470077003,40.677646,-73.996257,2017-09-19T10:00:00Z,47
360470075005,40.681485,-73.994130,2017-09-19T10:00:47Z,32
360470069003,40.683686,-73.992842,2017-09-19T10:01:19Z,25
360470075001,40.683955,-73.995004,2017-09-19T10:01:44Z,3331
360470075001,40.683955,-73.995004,2017-09-19T10:57:15Z,152
360470075005,40.680898,-73.994461,2017-09-19T10:59:47Z,0
360470075005,40.680898,-73.994461,2017-09-19T10:59:47Z,12
360470075005,40.680815,-73.994504,2017-09-19T10:59:59Z,1
360470075005,40.680815,-73.994504,2017-09-19T11:00:00Z,27
360470075005,40.680638,-73.994595,2017-09-19T11:00:27Z,16
360470077004,40.680285,-73.994878,2017-09-19T11:00:43Z,26
360470077004,40.680469,-73.994716,2017-09-19T11:01:09Z,24
360470075004,40.680615,-73.994600,2017-09-19T11:01:33Z,18
360470075004,40.68065,-73.994573,2017-09-19T11:01:51Z,18
360470075005,40.680576,-73.994634,2017-09-19T11:02:09Z,64
360470077004,40.680297,-73.994860,2017-09-19T11:03:13Z,21
360470077004,40.680302,-73.994859,2017-09-19T11:03:34Z,28
360470077004,40.679982,-73.995108,2017-09-19T11:04:02Z,18
360470077004,40.679961,-73.995103,2017-09-19T11:04:20Z,88
360470077004,40.677778,-73.996467,2017-09-19T11:05:48Z,81
360470119001,40.673856,-73.996298,2017-09-19T11:07:09Z,15
360470119001,40.673094,-73.995342,2017-09-19T11:07:24Z,28
360470121002,40.671911,-73.992958,2017-09-19T11:07:52Z,27
360470121002,40.670989,-73.990631,2017-09-19T11:08:19Z,44
360470121002,40.669959,-73.989576,2017-09-19T11:09:03Z,0
360470121002,40.669959,-73.989576,2017-09-19T11:09:03Z,26
360470121002,40.669805,-73.989453,2017-09-19T11:09:29Z,24
360470121002,40.669686,-73.989466,2017-09-19T11:09:53Z,22
360470121002,40.669554,-73.989615,2017-09-19T11:10:15Z,19
360470121002,40.669325,-73.989882,2017-09-19T11:10:34Z,22
360470117001,40.668996,-73.990033,2017-09-19T11:10:56Z,19
360470117001,40.668763,-73.990172,2017-09-19T11:11:15Z,33
