gid,lat,lng,time,duration
36061005200,40.736402,-73.990427,2017-09-27T13:07:11Z,63
36061005200,40.736716,-73.990566,2017-09-27T13:08:14Z,416
36061005200,40.736716,-73.990566,2017-09-27T13:15:10Z,86
36061005200,40.737708,-73.991440,2017-09-27T13:16:36Z,103
36061005400,40.738203,-73.992840,2017-09-27T13:18:19Z,29
36061005400,40.73838,-73.993306,2017-09-27T13:18:48Z,15
36061005400,40.738431,-73.993443,2017-09-27T13:19:03Z,29
36061005400,40.738637,-73.993908,2017-09-27T13:19:32Z,24652
36061005400,40.738637,-73.993908,2017-09-27T20:10:24Z,1000
36061004500,40.719779,-74.001519,2017-09-27T20:27:04Z,0
36061004500,40.719779,-74.001519,2017-09-27T20:27:04Z,18
36061004500,40.719789,-74.001529,2017-09-27T20:27:22Z,20
36061004500,40.719791,-74.001531,2017-09-27T20:27:42Z,28
36061004500,40.719795,-74.001536,2017-09-27T20:28:10Z,30
36061004700,40.719762,-74.001597,2017-09-27T20:28:40Z,15
36061004700,40.719941,-74.001437,2017-09-27T20:28:55Z,31
36061004500,40.720144,-74.001244,2017-09-27T20:29:26Z,18
36061004500,40.720233,-74.001137,2017-09-27T20:29:44Z,32
36061004500,40.72049,-74.000711,2017-09-27T20:30:16Z,33
36061004500,40.720746,-74.000485,2017-09-27T20:30:49Z,44
36061004500,40.720968,-74.000376,2017-09-27T20:31:33Z,75
36061004700,40.721535,-74.000137,2017-09-27T20:32:48Z,16
36061004700,40.721756,-73.999940,2017-09-27T20:33:04Z,42
36061004900,40.722325,-73.999459,2017-09-27T20:33:46Z,52
36061004900,40.722834,-73.998986,2017-09-27T20:34:38Z,31
36061004900,40.723101,-73.998754,2017-09-27T20:35:09Z,20
36061004900,40.723272,-73.998609,2017-09-27T20:35:29Z,78
36061004900,40.723973,-73.998082,2017-09-27T20:36:47Z,31
36061004900,40.724095,-73.997905,2017-09-27T20:37:18Z,21
36061004900,40.724277,-73.997837,2017-09-27T20:37:39Z,30
36061004900,40.724559,-73.997663,2017-09-27T20:38:09Z,40
36061004900,40.724987,-73.997259,2017-09-27T20:38:49Z,22
36061004300,40.725194,-73.996940,2017-09-27T20:39:11Z,17
36061004300,40.725306,-73.996691,2017-09-27T20:39:28Z,22
36061005502,40.725315,-73.996232,2017-09-27T20:39:50Z,31
36061005502,40.725278,-73.995904,2017-09-27T20:40:21Z,0
36061005502,40.725278,-73.995904,2017-09-27T20:40:21Z,33
36061005502,40.725207,-73.995382,2017-09-27T20:40:54Z,15
36061005502,40.725109,-73.995179,2017-09-27T20:41:09Z,18
36061004300,40.724978,-73.995102,2017-09-27T20:41:27Z,549
36047002100,40.701399,-73.986829,2017-09-27T20:50:36Z,429
36047006900,40.68568,-73.991067,2017-09-27T20:57:45Z,67
36047007700,40.680276,-73.995254,2017-09-27T20:58:52Z,0
36047007700,40.680276,-73.995254,2017-09-27T20:58:52Z,67
36047007700,40.679711,-73.995733,2017-09-27T20:59:59Z,1
36047007700,40.679711,-73.995733,2017-09-27T21:00:00Z,58
36047007700,40.679221,-73.996149,2017-09-27T21:00:58Z,21
36047007700,40.679307,-73.996355,2017-09-27T21:01:19Z,20
36047007700,40.679418,-73.996612,2017-09-27T21:01:39Z,20
36047007700,40.679471,-73.996933,2017-09-27T21:01:59Z,33
36047007700,40.679477,-73.997229,2017-09-27T21:02:32Z,33
36047007700,40.679239,-73.997312,2017-09-27T21:03:05Z,5559
36047007500,40.683955,-73.995004,2017-09-27T22:35:44Z,392
36047014300,40.666199,-73.995232,2017-09-27T22:42:16Z,25
36047014300,40.665656,-73.994412,2017-09-27T22:42:41Z,20
36047014300,40.66534,-73.993929,2017-09-27T22:43:01Z,31
